# Rt Group Reward Records - Total groups: 322
# Initial μ: 1, Initial loss rate: 0.01
# Hybrid loss enabled: 1
frame_id,Rt_value,loss_rate,mu_used,avg_reward,group_delay_ms,packet_count,group_start_time,group_end_time,bandwidth_utilization,p_delay,p_loss,p_mddl
192,0,0.008,1,-1.87084,944,30,184.189,185.133,0.147299,0.13,0,0.966667
193,0,0.008,1,-1.92935,948,30,185.147,186.095,0.0881997,0.13,0,0.966667
194,0,0.008,1,-1.93188,994,30,186.109,187.103,0.0856394,0.13,0,0.966667
195,0,0.008,1,-1.95527,927,30,187.103,188.03,0.0620148,0.13,0,0.966667
196,0,0.008,1,-1.95151,962,30,188.045,189.007,0.0658183,0.13,0,0.966667
197,0,0.008,1,-1.96547,946,30,189.02,189.966,0.0517109,0.13,0,0.966667
198,0,0.008,1,-1.96829,985,30,189.98,190.965,0.0488681,0.13,0,0.966667
199,0,0.008,1,-1.88536,965,30,190.98,191.945,0.132632,0.13,0,0.966667
200,0,0.008,1,-1.86135,961,30,191.959,192.92,0.156887,0.13,0,0.966667
201,0,0.008,1,-1.89639,962,30,192.935,193.897,0.121492,0.13,0,0.966667
202,0,0.008,1,-1.8887,960,30,193.912,194.872,0.129262,0.13,0,0.966667
203,0,0.008,1,-1.91317,991,30,194.889,195.88,0.104547,0.13,0,0.966667
204,0,0.008,1,-1.92678,961,30,195.895,196.856,0.090797,0.13,0,0.966667
205,0,0.008,1,-1.87529,964,30,196.871,197.835,0.142804,0.13,0,0.966667
206,0,0.008,1,-1.86452,994,30,197.85,198.844,0.153679,0.13,0,0.966667
207,0,0.008,1,-1.86485,962,30,198.859,199.821,0.153348,0.13,0,0.966667
208,0,0.008,1,-1.90633,952,30,199.836,200.788,0.111449,0.13,0,0.966667
209,0,0.008,1,-1.92215,943,30,200.801,201.744,0.0954759,0.13,0,0.966667
210,0,0.008,1,-1.88073,962,30,201.758,202.72,0.137308,0.13,0,0.966667
211,0,0.008,1,-1.88964,1074,30,202.737,203.811,0.128308,0.13,0,0.966667
212,0,0.008,1,-1.90617,862,30,203.809,204.671,0.111618,0.13,0,0.966667
213,0,0.008,1,-1.91989,997,30,204.686,205.683,0.0977526,0.13,0,0.966667
214,0,0.008,1,-1.84312,963,30,205.698,206.661,0.175296,0.13,0,0.966667
215,0,0.008,1,-1.91397,927,30,206.676,207.603,0.103729,0.13,0,0.966667
216,0,0.008,1,-1.82282,997,30,207.618,208.615,0.195807,0.13,0,0.966667
217,0,0.008,1,-1.90149,936,30,208.629,209.565,0.116344,0.13,0,0.966667
218,0,0.008,1,-1.91008,994,30,209.579,210.573,0.107665,0.13,0,0.966667
219,0,0.008,1,-1.92631,993,30,210.554,211.547,0.0912709,0.13,0,0.966667
220,0,0.008,1,-1.91691,963,30,211.562,212.525,0.100766,0.13,0,0.966667
221,0,0.008,1,-1.89289,962,30,212.54,213.502,0.125024,0.13,0,0.966667
222,0,0.008,1,-1.88803,877,30,213.57,214.447,0.129939,0.13,0,0.966667
223,0,0.008,1,-1.91729,958,30,214.461,215.419,0.10038,0.13,0,0.966667
224,0,0.008,1,-1.92882,936,30,215.432,216.368,0.0887346,0.13,0,0.966667
225,0,0.008,1,-1.97209,992,30,216.382,217.374,0.0450255,0.13,0,0.966667
226,0,0.008,1,-1.95834,994,30,217.356,218.35,0.0589207,0.13,0,0.966667
227,0,0.008,1,-1.956,947,30,218.365,219.312,0.0612755,0.13,0,0.966667
228,0,0.008,1,-1.98076,948,30,219.326,220.274,0.0362733,0.13,0,0.966667
229,0,0.008,1,-1.87613,1017,30,220.288,221.305,0.141954,0.13,0,0.966667
230,0,0.008,1,-1.93387,952,30,221.319,222.271,0.0836352,0.13,0,0.966667
231,0,0.008,1,-1.93762,961,30,222.286,223.247,0.0798428,0.13,0,0.966667
232,0,0.008,1,-1.97008,964,30,223.296,224.26,0.0470594,0.13,0,0.966667
233,0,0.008,1,-1.82093,971,30,224.275,225.246,0.197715,0.13,0,0.966667
234,0,0.008,1,-1.96506,982,30,225.262,226.244,0.0521258,0.13,0,0.966667
235,0,0.008,1,-1.67597,1002,30,226.259,227.261,0.344139,0.13,0,0.966667
236,0,0.008,1,-1.96799,956,30,227.275,228.231,0.0491667,0.13,0,0.966667
237,0,0.008,1,-1.9729,962,30,228.245,229.207,0.0442071,0.13,0,0.966667
238,0,0.008,1,-1.95202,996,30,229.222,230.218,0.0653015,0.13,0,0.966667
239,0,0.008,1,-1.9581,997,30,230.233,231.23,0.0591556,0.13,0,0.966667
240,0,0.008,1,-1.90184,964,30,231.245,232.209,0.115982,0.13,0,0.966667
241,0,0.008,1,-1.85732,967,30,232.224,233.191,0.160955,0.13,0,0.966667
242,0,0.008,1,-1.93665,989,30,233.205,234.194,0.080825,0.13,0,0.966667
243,0,0.008,1,-1.97547,957,30,234.208,235.165,0.0416099,0.13,0,0.966667
244,0,0.008,1,-1.94858,940,30,235.178,236.118,0.0687754,0.13,0,0.966667
245,0,0.008,1,-1.93637,997,30,236.133,237.13,0.081109,0.13,0,0.966667
246,0,0.008,1,-1.94173,957,30,237.145,238.102,0.0756949,0.13,0,0.966667
247,0,0.008,1,-1.94522,938,30,238.116,239.054,0.0721678,0.13,0,0.966667
248,0,0.008,1,-1.95388,960,30,239.069,240.029,0.0634227,0.13,0,0.966667
249,0,0.008,1,-1.95772,956,30,240.044,241,0.0595422,0.13,0,0.966667
250,0,0.008,1,-1.88447,942,30,241.015,241.957,0.133529,0.13,0,0.966667
251,0,0.008,1,-1.92061,947,30,241.971,242.918,0.0970285,0.13,0,0.966667
252,0,0.008,1,-1.87904,949,30,242.931,243.88,0.139016,0.13,0,0.966667
253,0,0.008,1,-1.98318,924,30,243.895,244.819,0.0338203,0.13,0,0.966667
254,0,0.008,1,-1.91014,946,30,244.834,245.78,0.107598,0.13,0,0.966667
255,0,0.008,1,-1.89464,952,30,245.794,246.746,0.123263,0.13,0,0.966667
256,0,0.008,1,-1.90877,961,30,246.76,247.721,0.108987,0.13,0,0.966667
257,0,0.008,1,-1.91849,955,30,247.736,248.691,0.0991681,0.13,0,0.966667
258,0,0.008,1,-1.9335,974,30,248.705,249.679,0.084011,0.13,0,0.966667
259,0,0.008,1,-1.95823,1031,30,249.693,250.724,0.0590285,0.13,0,0.966667
260,0,0.008,1,-1.89725,1002,30,250.773,251.775,0.120625,0.13,0,0.966667
261,0,0.008,1,-1.95113,957,30,251.79,252.747,0.0661961,0.13,0,0.966667
