frame_id,frame_type,deadline_time,first_packet_time,last_packet_time,frame_size,total_packets,packets_received,packets_before_deadline,delivery_ratio,missed_deadline,stall_duration_ms
291,0,9.83333,281.267,282.209,45000,30,30,0,0,1,272375
292,0,9.86667,282.243,283.188,45000,30,30,0,0,1,273321
293,0,9.9,283.222,284.162,45000,30,30,0,0,1,274261
294,0,9.93333,284.196,285.11,45000,30,30,0,0,1,275176
295,0,9.96667,285.144,286.053,45000,30,30,0,0,1,276086
296,0,10,286.088,287.061,45000,30,30,0,0,1,277061
297,0,10.0333,287.062,288.071,45000,30,30,0,0,1,278037
298,0,10.0667,288.105,289.071,45000,30,30,0,0,1,279004
299,0,10.1,289.105,290.019,45000,30,30,0,0,1,279919
300,1,10.1333,290.051,290.978,45000,30,30,0,0,1,280844
301,0,10.1667,291.013,291.943,45000,30,30,0,0,1,281776
302,0,10.2,291.977,292.901,45000,30,30,0,0,1,282700
303,0,10.2333,292.936,293.892,45000,30,30,0,0,1,283658
304,0,10.2667,293.893,294.871,45000,30,30,0,0,1,284604
305,0,10.3,294.889,295.812,45000,30,30,0,0,1,285512
306,0,10.3333,295.846,296.852,45000,30,30,0,0,1,286518
307,0,10.3667,296.884,297.854,45000,30,30,0,0,1,287487
308,0,10.4,297.939,298.747,45000,30,30,0,0,1,288346
309,0,10.4333,298.782,299.723,45000,30,30,0,0,1,289289
310,0,10.4667,299.758,300.734,45000,30,30,0,0,1,290267
311,0,10.5,300.769,301.734,45000,30,30,0,0,1,291234
312,0,10.5333,301.768,302.685,45000,30,30,0,0,1,292151
313,0,10.5667,302.718,303.637,45000,30,30,0,0,1,293070
314,0,10.6,303.672,304.646,45000,30,30,0,0,1,294046
315,0,10.6333,304.664,305.592,45000,30,30,0,0,1,294958
316,0,10.6667,305.626,306.568,45000,30,30,0,0,1,295901
317,0,10.7,306.603,307.544,45000,30,30,0,0,1,296843
318,0,10.7333,307.632,308.519,45000,30,30,0,0,1,297785
319,0,10.7667,308.554,309.496,45000,30,30,0,0,1,298729
